Título|Ano de Publicação|Tipo de Acesso|Tipo de Documento|Assuntos|Idioma|Descrição|Link de Acesso
Characterisation of magnesium oxysulphate (MOS) cement pastes produced with MgO extracted from magnesium silicate rocks|||TESE|MAGNÉSIO|Inglês||https://doi.org/10.11606/T.74.2024.tde-01042025-085828
Entrevista Professora Ivette Senise: O pós-diretoria [entrevista]|||APRESENTACAO SONORA/CENICA/ENTREVISTA|ENSINO JURÍDICO|Português||https://www.youtube.com/watch?v%3Dv3Y_Hc7t4tU
Preparando pais e cuidadores para reconhecer a fricativa faríngea e a fricativa nasal posterior|||TRABALHO DE EVENTO-RESUMO|ARTICULAÇÃO COMPENSATÓRIA|Português||
Análises termomecânicas e microscopia estrutural de corpos de prova gerados por impressão 3D, com estratégia de preenchimento variado da largura dos cordões extrudados|||TRABALHO DE EVENTO-RESUMO|ENGENHARIA MECÂNICA|Português||https://soac.eesc.usp.br/index.php/siicusp/32siicusp/paper/viewFile/4437/3043
The Family Blattisociidae Garman (Figs. 57.1–57.5)|||PARTE DE MONOGRAFIA/LIVRO|PRODUTOS AGRÍCOLAS|Inglês||https://www.cabidigitallibrary.org/doi/book/10.1079/9781786390912.0000
Decisão generosa de Rosa Freire D'Aguiar reunir em Sempre Paris o relato de uma vida ... [Orelha]|||OUTROS|MEMÓRIA AUTOBIOGRÁFICA|Português||
The Family Melicharidae Hirschmann (Figs. 56.1–56.4)|||PARTE DE MONOGRAFIA/LIVRO|PRODUTOS AGRÍCOLAS|Inglês||https://www.cabidigitallibrary.org/doi/book/10.1079/9781786390912.0000
Aquecimento alfvênico em discos de acresção protoestelares:: efeito na redução da zona morta|||TESE|PROCESSOS (ASTRONOMIA)|Português||
Produção de géis termorreversíveis de celulose nanofibrilada, glicerol e glicóis|||TRABALHO DE EVENTO-RESUMO|MATERIAIS|Português||https://soac.eesc.usp.br/index.php/siicusp/32siicusp/paper/viewFile/4435/3013
The Family Ascidae Voigts et Oudemans (Figs. 55.1 and 55.2)|||PARTE DE MONOGRAFIA/LIVRO|PRODUTOS AGRÍCOLAS|Inglês||https://www.cabidigitallibrary.org/doi/book/10.1079/9781786390912.0000
Entrevista Professora Ivette Senise: A diretoria da FDUSP [entrevista]|||APRESENTACAO SONORA/CENICA/ENTREVISTA|ENSINO JURÍDICO|Português||https://www.youtube.com/watch?v%3D-T5SAnJdQNg
Sinterização e caracterização de compósitos de carbeto de nióbio/alumina/zircônia parcialmente estabilizada|||TRABALHO DE EVENTO-RESUMO|MATERIAIS|Português||https://soac.eesc.usp.br/index.php/siicusp/32siicusp/paper/viewFile/4433/3005
Order Parasitiformes, Suborder Mesostigmata: The Family Ameroseiidae Evans (Figs. 54.1 and 54.2)|||PARTE DE MONOGRAFIA/LIVRO|PRODUTOS AGRÍCOLAS|Inglês||https://www.cabidigitallibrary.org/doi/book/10.1079/9781786390912.0000
Entrevista Professora Ivette Senise: O Direito Penal [entrevista]|||APRESENTACAO SONORA/CENICA/ENTREVISTA|ENSINO JURÍDICO|Português||https://www.youtube.com/watch?v%3DLN45duJEPyc
The Family Protoplophoridae Ewing|||PARTE DE MONOGRAFIA/LIVRO|PRODUTOS AGRÍCOLAS|Inglês||https://www.cabidigitallibrary.org/doi/book/10.1079/9781786390912.0000
Entrevista Professora Ivette Senise: O período antes do Direito [entrevista]|||APRESENTACAO SONORA/CENICA/ENTREVISTA|ENSINO JURÍDICO|Português||https://www.youtube.com/watch?v%3DBEyjBzjBbf8
A new species of Metaphrixus Nierstrasz & Brender à Brandis, 1931 (Isopoda: Bopyridae: Hemiarthrinae) associated with an Hippolytidae shrimpfrom Costa Rica|||ARTIGO DE PERIODICO|PARASITISMO|Inglês||https://doi.org/10.11646/zootaxa.5501.3.4
A correlação entre AGNs e aglomerados de galáxias através do óptico e raios-X|||TESE|RAIOS X|Português||
The Family Pediculochelidae Lavoipierre|||PARTE DE MONOGRAFIA/LIVRO|PRODUTOS AGRÍCOLAS|Inglês||https://www.cabidigitallibrary.org/doi/book/10.1079/9781786390912.0000
Thyroid hormone induces restrictive cardiomyopathy in β1-adrenoceptor knockout mice|||ARTIGO DE PERIODICO|TRANSDUÇÃO DE SINAL CELULAR|Inglês||https://doi.org/10.1139/cjpp-2023-0153
The Family Oribatulidae Thor (Fig. 51.1)|||PARTE DE MONOGRAFIA/LIVRO|PRODUTOS AGRÍCOLAS|Inglês||https://www.cabidigitallibrary.org/doi/book/10.1079/9781786390912.0000
Generation Mechanism for Interlinked Flux Tubes on the Magnetopause.|||ARTIGO DE PERIODICO|TERCEIRA DIMENSÃO|Inglês||https://doi.org/10.1002/2017ja024664
A presente obra que ora vem a lume constitui a dissertação de mestrado de Giovani dos Santos Ravagnani, apresentada na Faculdade de Direito da Universidade de São Paulo|||PARTE DE MONOGRAFIA/LIVRO-APRES/PREF/POSF|ATO PROCESSUAL|Português||
Comparação das medidas das estruturas velofaríngeas entre pacientes encaminhados para tratamento cirúrgico e protético da disfunção velofaríngea|||TRABALHO DE EVENTO-RESUMO|INSUFICIÊNCIA VELOFARÍNGEA|Português||
Utilização de geotecnologias aplicadas ao monitoramento e análise de voçoroca - estudo de caso em Anhembi-SP|||TESE|GEOPROCESSAMENTO|Português||https://doi.org/10.11606/T.44.2025.tde-01042025-081713
Unravelling the mode of action of the Tres Cantos Antimalarial Set (TCAMS): investigating the mechanism of potent antimalarial compounds potentially targeting the human serotonin receptor|||ARTIGO DE PERIODICO|SEROTONINA|Inglês||https://dx.doi.org/10.1186/s12936-025-05271-3
Checklist of the terrestrial gastropods of Brazil|||ARTIGO DE PERIODICO|GASTROPODA|Inglês||https://doi.org/10.61733/jconch/4516
Tratamento contábil das subvenções e o entendimento da RFB na solução de consulta COSIT nº 15/2020|||PARTE DE MONOGRAFIA/LIVRO|DEMONSTRAÇÃO FINANCEIRA|Português||
Controvérsias jurídico-contábeis|||MONOGRAFIA/LIVRO-ED/ORG|TRIBUTAÇÃO|Português||
Comportamento da língua e movimento velar e das paredes faríngeas durante a fala|||TRABALHO DE EVENTO-RESUMO|FARINGE|Português||
E-ducação inovATIVA: práticas educacionais inovadoras para a mobilização de competências éticas e digitais|||TESE|ENSINO E APRENDIZAGEM|Português||https://doi.org/10.11606/D.48.2024.tde-05022025-113402
Preparando pais e cuidadores para reconhecer o golpe de glote e plosiva faríngea|||TRABALHO DE EVENTO-RESUMO|FISSURA LÁBIOPALATINA|Português||
A contribuição de redes de conceitos na compreensão do aprendizado do tema equilíbrio químico no Ensino Superior|||TESE|ENSINO SUPERIOR|Português||https://doi.org/10.11606/T.81.2024.tde-13032025-153643
Are the interaction effects of warming and drought on nutritional status and biomass production in a tropical forage legume greater than their individual effects?|||ARTIGO DE PERIODICO|ECOSSISTEMAS|Inglês||https://doi.org/10.1007/s00425-021-03758-2
Use of hyaluronic acid associated with triamcinolone acetonide or ozone gas in the treatment of induced osteoarthritis in rabbits|||ARTIGO DE PERIODICO|COELHOS|Inglês||https://doi.org/10.1590/ACB361201
Chronic oral ulceration as an indicator of anemia induced by low-dose methotrexate: a case report|||ARTIGO DE PERIODICO|METOTREXATO|Inglês||
Clinical performance of short versus standard dental implants in vertically augmented bone: an overview of systematic reviews|||ARTIGO DE PERIODICO|IMPLANTES DENTÁRIOS|Inglês||https://doi.org/10.1007/s00784-021-04095-0
Diagnostic yield of whole exome sequencing for adults with ataxia: a brazilian perspective|||ARTIGO DE PERIODICO|GENÉTICA|Inglês||https://doi.org/10.1007/s12311-021-01268-1
Dicas para tratamento da dor no paciente com câncer|||PARTE DE MONOGRAFIA/LIVRO|DOR|Português||
Retinal Architecture in Autosomal Recessive Spastic Ataxia of Charlevoix‐Saguenay <scp>(ARSACS)</scp>: Insights into Disease Pathogenesis and Biomarkers|||ARTIGO DE PERIODICO|BIOMARCADORES|Inglês||https://doi.org/10.1002/mds.28612
Biópsias percutâneas: aspectos histopatológicos|||PARTE DE MONOGRAFIA/LIVRO|BIÓPSIA|Português||
As concepções prévias de estudantes do Ensino Médio sobre a temática bebidas alcoólicas e a construção de uma sequência de ensino CTSA|||TRABALHO DE EVENTO-RESUMO|BEBIDAS ALCOÓLICAS|Português||https://static.even3.com/anais/814540.pdf
Adrenal response to competitive singing: glucocorticoid metabolites in male Saltator similis (Aves, Thraupidae)|||ARTIGO DE PERIODICO|COMPORTAMENTO ANIMAL|Inglês||https://doi.org/10.1093/conphys/coaf004
Investigação de alterações na região 22Q11 em indivíduos com fissura de palato|||TRABALHO DE EVENTO-RESUMO|ANORMALIDADES CROMOSSÔMICAS|Português||
Geografia política e geopolítica: discursos sobre o território e o poder|||MONOGRAFIA/LIVRO|GEOPOLÍTICA|Português||
Effects of a collaborative gamification on learning and engagement of children with Autism|||ARTIGO DE PERIODICO|INTERAÇÃO HOMEM-MÁQUINA|Inglês||https://doi.org/10.1007/s10209-024-01119-w
How much would irrigation increase maize production in Brazil?|||ARTIGO DE PERIODICO|SIMULAÇÃO|Inglês||https://doi.org/10.1590/1678-992X-2024-0083
Estética facial em indivíduos com fissura labiopalatina unilateral completa|||TRABALHO DE EVENTO-RESUMO|QUEILOPLASTIA|Português||
Avaliação do método Flash Sinter-Crystallization de vidros no sistema Na2O-CaO-SiO2 para obtenção de vitrocerâmicas sinterizadas|||TRABALHO DE EVENTO-RESUMO|MATERIAIS|Português||https://soac.eesc.usp.br/index.php/siicusp/32siicusp/paper/viewFile/4431/2981
Sobre desnudamentos humanos, xenofobia, apagamento de narrativas e saberes e desconstruções discursivas|||PARTE DE MONOGRAFIA/LIVRO|ÓDIO|Português||
Visões ocidentais da África e o estigma do negro|||PARTE DE MONOGRAFIA/LIVRO|ÓDIO|Português||
Humor e ódio na esfera pública digital|||PARTE DE MONOGRAFIA/LIVRO|ÓDIO|Português||
O antissemitismo em mutação: narrativa e representação nas caricaturas e charges|||PARTE DE MONOGRAFIA/LIVRO|ÓDIO|Português||
Esta coletânea reúne a maior parte das comunicações apresentadas durante o I Colóquio Internacional Discursos de Ódio ... [Apresentação]|||PARTE DE MONOGRAFIA/LIVRO-APRES/PREF/POSF|ÓDIO|Português||
Discursos de ódio: o racismo reciclado nos séculos XX e XXI|||MONOGRAFIA/LIVRO-ED/ORG|ÓDIO|Português||
Effectors and predictors of conceptus survival in cattle: what is next ?|||ARTIGO DE PERIODICO|PRENHEZ|Inglês||https://doi.org/10.1016/j.domaniend.2025.106939
No sex differences in performance and perceived fatigability during a self-paced endurance exercise performed under moderate hypoxia|||ARTIGO DE PERIODICO|MÚSCULO ESQUELÉTICO|Inglês||http://doi.org/10.1152/ajpregu.00145.2024
Estudo da estratégia de tratamentos para a degradação de filmes de polietileno de baixa densidade|||TRABALHO DE EVENTO-RESUMO|MATERIAIS|Português||https://soac.eesc.usp.br/index.php/siicusp/32siicusp/paper/viewFile/4429/2956
Solidification of Be-free Ni-based dental alloy|||ARTIGO DE PERIODICO|LIGAS DENTÁRIAS|Inglês||https://doi.org/10.1016/S1003-6326(18)64867-8
Using transfer learning model for brain tumor detection|||ARTIGO DE PERIODICO|NEOPLASIAS CEREBRAIS|Inglês||https://revistaingenieria.uda.cl/Publicaciones/380002.pdf
Recycling sent cobalt oxide catalysts to obtain metallic cobalt: a study of two-step reduction kinetics|||ARTIGO DE PERIODICO|COBALTO|Inglês||https://doi.org/10.1007/s40831-024-00998-w
Educational data mining and learning analytics: a review of educational management in e-learning|||ARTIGO DE PERIODICO|ADMINISTRAÇÃO DA EDUCAÇÃO|Inglês||https://doi.org/10.1108/IDD-10-2022-0099
Análise de diagnóstico por simulações de Monte Carlo|||TESE|CORONAVIRUS|Português||https://doi.org/10.11606/D.45.2025.tde-31032025-151656
Classical serological markers in pediatric inflammatory bowel disease in Brazil|||ARTIGO DE PERIODICO|ENTEROPATIAS INFLAMATÓRIAS|Inglês||https://doi.org/10.1590/s0004-2803.202100000-89
Representação política|||MONOGRAFIA/LIVRO|GOVERNO REPRESENTATIVO|Português||
The Family Oppiidae Sellnick|||PARTE DE MONOGRAFIA/LIVRO|PRODUTOS AGRÍCOLAS|Inglês||https://www.cabidigitallibrary.org/doi/book/10.1079/9781786390912.0000
Rabo de foguete, o livro de memórias de Ferreira Gullar sobre seus anos de exílio ... [Contracapa]|||OUTROS|LITERATURA BRASILEIRA|Português||
The Family Haplochthoniidae Van der Hammen (Fig. 49.1)|||PARTE DE MONOGRAFIA/LIVRO|PRODUTOS AGRÍCOLAS|Inglês||https://www.cabidigitallibrary.org/doi/book/10.1079/9781786390912.0000
Desvelando relações entre gênero, desenvolvimento e direito na contemporaneidade|||TESE|GÊNEROS (GRUPOS SOCIAIS)|Português||https://doi.org/10.11606/T.2.2024.tde-03122024-154053
Dataset on the use of biostimulants in strawberry cultivation under tropical conditions|||ARTIGO DE PERIODICO|VARIEDADES VEGETAIS|Inglês||https://doi.org/10.1016/j.dib.2025.111445
Dissoluções, novo livro de Felipe Franco Munhoz, é feito de ... [Contracapa]|||OUTROS|POESIA|Português||
Exploring NLP and embedding for automatic essay scoring in the Portuguese|||TRABALHO DE EVENTO-ANAIS PERIODICO|PORTUGUÊS DO BRASIL|Inglês||https://doi.org/10.1007/978-3-031-64315-6_18
The Family Euphthiracaridae Jacot (Fig. 48.1)|||PARTE DE MONOGRAFIA/LIVRO|PRODUTOS AGRÍCOLAS|Inglês||https://www.cabidigitallibrary.org/doi/book/10.1079/9781786390912.0000
The Family Cymbaeremaeidae Sellnick (Fig. 47.1)|||PARTE DE MONOGRAFIA/LIVRO|PRODUTOS AGRÍCOLAS|Inglês||https://www.cabidigitallibrary.org/doi/book/10.1079/9781786390912.0000
The Family Cosmochthoniidae Grandjean|||PARTE DE MONOGRAFIA/LIVRO|PRODUTOS AGRÍCOLAS|Inglês||https://www.cabidigitallibrary.org/doi/book/10.1079/9781786390912.0000
Contextual features for automatic essay scoring in Portuguese|||TRABALHO DE EVENTO-ANAIS PERIODICO|PORTUGUÊS DO BRASIL|Inglês||https://doi.org/10.1007/978-3-031-64315-6_23
Creep Properties of Directionally Solidified Nb-Modified Ni-Base Superalloy, Mar-M247|||ARTIGO DE PERIODICO|LIGAS REFRATÁRIAS|Inglês||https://doi.org/10.1007/s11665-018-3699-6
Assessing the spatio-temporal pattern and determinants of child marriage in Nigeria|||ARTIGO DE PERIODICO|CASAMENTO DE MENOR|Inglês||https://doi.org/10.1017/S0021932025000148
O primeiro papel, que se fez no Rio de Janeiro a 16 de novembro de 1809: história, caracterização e conservação|||TESE|INTERDISCIPLINARIDADE|Português||https://doi.org/10.11606/D.103.2024.tde-28012025-115937
Desenvolvimento e implementação de software para análise de estruturas em compósitos avançados empregados em um veículo elétrico|||TRABALHO DE EVENTO-RESUMO|ENGENHARIA AERONÁUTICA|Português||https://soac.eesc.usp.br/index.php/siicusp/32siicusp/paper/viewFile/4461/3161
High rates of unprotected receptive anal sex and vulnerabilities to HIV infection among Brazilian men who have sex with men|||ARTIGO DE PERIODICO|ÂNUS|Inglês||https://doi.org/10.1177/0956462420968994
História do novo sobrenome [Posfácio]: o segredo da escrita|||PARTE DE MONOGRAFIA/LIVRO-APRES/PREF/POSF|ROMANCE|Português||
High-risk patients for septic shock after percutaneous nephrolithotomy|||ARTIGO DE PERIODICO|COMPLICAÇÕES PÓS-OPERATÓRIAS|Inglês||https://observatorio.fm.usp.br/handle/OPI/79411
Mechanical Alloying and Hot Pressing of Ti-Zr-Si-B Powder Mixtures|||ARTIGO DE PERIODICO|MUDANÇA DE FASE|Inglês||https://doi.org/10.3390/met8020082
Padrão espacial de comunidades e populações arbóreas|||PARTE DE MONOGRAFIA/LIVRO|POPULAÇÕES VEGETAIS|Português||
Estimates of genetic parameters, principal components and cluster analysis for milk yield and body weight in Guzera cattle|||ARTIGO DE PERIODICO|PRODUÇÃO ANIMAL|Inglês||https://doi.org/10.1071/AN20041
Genetic evaluation for reproductive and productive traits in Brahman cattle|||ARTIGO DE PERIODICO|REPRODUÇÃO ANIMAL|Inglês||https://doi.org/10.1016/j.theriogenology.2021.08.008
El papel de las geotecnologías en el desarrollo del pensamiento espacial.|||ARTIGO DE PERIODICO|GEOPROCESSAMENTO|Espanhol||https://doi.org/10.17227/Anekumene.2018.num15.11840
Estimativa de biomassa vegetal por imagem de satélite|||PARTE DE MONOGRAFIA/LIVRO|SENSORIAMENTO REMOTO|Português||
Craniosinostose associada ao espectro oculoauriculovertebral: expansão fenotípica desse espectro ou síndrome nova?|||TRABALHO DE EVENTO-RESUMO|FENÓTIPOS|Português||
Commentary on “Complement C3 vs C5 inhibition in severe COVID-19 [Carta]: early clinical findings reveal differential biological efficacy” by D.C. Mastellos et al.|||ARTIGO DE PERIODICO-CARTA/EDITORIAL|BIOLOGIA (ESTUDOS ESPECÍFICOS)|Inglês||https://doi.org/10.1016/j.clim.2020.108618
Allergic reaction to beta-glucans in an obese dog: a case report of confirmed and suspected sources|||ARTIGO DE PERIODICO|OBESIDADE|Inglês||https://doi.org/10.1111/jpn.14111
Tipos de solo|||PARTE DE MONOGRAFIA/LIVRO|TIPOLOGIA DO SOLO|Português||
Desafios da cadeia da restauração florestal no Vale do Paraíba Paulista|||ARTIGO DE PERIODICO|VALE DO PARAÍBA|Português||https://doi.org/10.14393/SN-v30n3-2018-13
Body postural realignment in the first 2 months after orthognathic surgery|||ARTIGO DE PERIODICO|POSTURA|Inglês||https://doi.org/10.1016/j.ajodo.2020.10.019
Clonal hematopoiesis in telomere biology disorders associates with the underlying germline defect and somatic mutations in POT1, PPM1D, and TERT promoter|||TRABALHO DE EVENTO-RESUMO PERIODICO|MUTAÇÃO GENÉTICA|Inglês||https://doi.org/10.1182/blood-2021-151199
Chromosome doubling by colchicine injection and haploidy induction in tropical genotypes of common and supersweet corn|||ARTIGO DE PERIODICO|MILHO|Inglês||https://doi.org/10.5433/1679-0359.2025v46n2p517
Evaluating the efficacy of NHITS for forecasting stock realized volatility|||ARTIGO DE PERIODICO|MERCADO FINANCEIRO|Inglês||https://doi.org/10.1007/s10614-025-10917-0
Regime de luz|||PARTE DE MONOGRAFIA/LIVRO|RADIAÇÃO SOLAR E TERRESTRE|Português||
Há mil anos, Scherezade atravessou mil e uma noites contando histórias ... [Orelha]|||OUTROS|ROMANCE|Português||
Potential environmental impacts and management strategies for metal release during ocean alkalinity enhancement using olivine|||ARTIGO DE PERIODICO|SILICATOS|Inglês||https://biblio.fflch.usp.br/Wen_Z_3241495_PotentialEnvironmentalImpactsAndManagementStrategiesForMetal.pdf
Aplicação da técnica de decomposição em valores singulares nos resultados de correlação de imagens digitais de um material modelo sujeito à variação de temperatura|||TRABALHO DE EVENTO-RESUMO|ENGENHARIA MECÂNICA|Português||https://soac.eesc.usp.br/index.php/siicusp/32siicusp/paper/viewFile/4459/3131
Effect of local hygiene protocols on denture-related stomatitis, biofilm, microbial load, and odor: a randomized controlled trial|||ARTIGO DE PERIODICO|ENSAIO CLÍNICO CONTROLADO RANDOMIZADO|Inglês||https://doi.org/10.1016/j.prosdent.2020.12.018
Chemical, physical, and mechanical wood properties of Rhizophora mangle L., Avicennia germinans (L.) L., and Laguncularia racemosa (L.) C.F. Gaertn. on the Brazilian Amazon coast|||ARTIGO DE PERIODICO|MADEIRA|Inglês||https://doi.org/10.1186/s13595-025-01279-6
Apresentação e localização geográfica das parcelas permanentes|||PARTE DE MONOGRAFIA/LIVRO|SISTEMA DE POSICIONAMENTO GLOBAL|Português||
Ensaios de fadiga em componentes mecânicos em escala|||TRABALHO DE EVENTO-RESUMO|ENGENHARIA MECÂNICA|Português||https://soac.eesc.usp.br/index.php/siicusp/32siicusp/paper/viewFile/4457/3086
Geotecnologias aplicadas ao planejamento de microbacias hidrográficas: Estudo de caso da microbacia do ribeirão dos passos (Lorena-SP)|||ARTIGO DE PERIODICO|GEOPROCESSAMENTO|Português||https://seer.ufu.br/index.php/caminhosdegeografia/article/view/40908
Hohenbergia alba and Hohenbergia sparsiflora, two striking new bromeliads from the Brazilian Atlantic Forest|||ARTIGO DE PERIODICO|MONOCOTILEDÔNEAS|Inglês||https://doi.org/10.11646/phytotaxa.665.3.5
Advancing scientific communication in proteomics|||ARTIGO DE PERIODICO|GENÔMICA|Inglês||https://doi.org/10.1021/acs.jproteome.4c01098
XY disorder of sexual development in a dog: a case study by histopathology, genotyping and karyotyping|||ARTIGO DE PERIODICO|HISTOPATOLOGIA ANIMAL|Inglês||https://doi.org/10.1007/s11259-025-10664-5
Gazetteer literário de Machado de Assis|||ARTIGO DE PERIODICO|SISTEMA DE INFORMAÇÃO GEOGRÁFICA|Português||https://doi.org/10.5007/1518-2924.2025.e101283
The impact on the healing of bioactivation with argon plasma of a xenogeneic graft with adequate fixation but poor adaptation to the recipient site: an experimental study in rabbits|||ARTIGO DE PERIODICO|PLASMA DE ANIMAL|Inglês||https://doi.org/10.11607/jomi.8695
Correlations of the glycemic variability with oxidative stress and erythrocytes membrane stability in patients with type 1 diabetes under intensive treatment|||ARTIGO DE PERIODICO|ERITRÓCITOS|Inglês||https://doi.org/10.1016/j.diabres.2018.01.031
Análise da vibração induzida por vórtices de um cilindro usando ferramentas CFD|||TRABALHO DE EVENTO-RESUMO|ENGENHARIA MECÂNICA|Português||https://soac.eesc.usp.br/index.php/siicusp/32siicusp/paper/viewFile/4455/3027
Assessing the potential of tropical secondary forests in the Central Amazon for timber production|||ARTIGO DE PERIODICO|SILVICULTURA SUSTENTÁVEL|Inglês||https://doi.org/10.1590/1809-4392202400022
Revealing shared molecular drivers of brain metastases from distinct primary tumors|||ARTIGO DE PERIODICO|NEOPLASIAS CEREBRAIS|Inglês||https://dx.doi.org/10.1016/j.brainres.2025.149456
Exergy assessment comparison of conventional and hybrid-electric aircraft propulsion systems|||ARTIGO DE PERIODICO|EFICIÊNCIA ENERGÉTICA|Inglês||https://doi.org/10.1007/s40430-024-05266-2
High-order triangular finite elements applied to visco-hyperelastic materials under plane stress|||ARTIGO DE PERIODICO|VISCOELASTICIDADE DAS ESTRUTURAS|Inglês||https://doi.org/10.1007/s40430-018-1453-5
Detection of Zika and dengue viruses in wild-caught mosquitoes collected during field surveillance in an environmental protection area in São Paulo, Brazil|||ARTIGO DE PERIODICO|SÃO PAULO|Inglês||https://doi.org/10.1371/journal.pone.0227239
Atributos climáticos associados aos eventos de precipitação oculta no Parque Nacional de Aparados da Serra - RS/SC|||ARTIGO DE PERIODICO|PLUVIOMETRIA|Português||https://biblio.fflch.usp.br/Baratto_J_3241468_AtributosClimaticosAssociadosAosEventosDePrecipitacao.pdf
Large deformation analysis of functionally graded visco-hyperelastic materials|||ARTIGO DE PERIODICO|MÉTODO DOS ELEMENTOS FINITOS|Inglês||https://doi.org/10.1016/j.compstruc.2018.06.001
Educação ambiental em unidades de conservação: fundamentos e práticas|||MONOGRAFIA/LIVRO|EDUCAÇÃO AMBIENTAL|Português||
Influência do plasma seminal de touros de alta e baixa fertilidade na regulação endometrial: uma análise metabolômica|||TESE|METABOLÔMICA|Português||https://doi.org/10.11606/T.10.2024.tde-25022025-110637
Da proteção previdenciária ínsita às relações de trabalho em tempos de entropia social: Breves reflexões|||PARTE DE MONOGRAFIA/LIVRO|SEGURIDADE SOCIAL|Português||
Desenvolvimento de ressonadores locais para redução de vibração em metaestruturas|||TRABALHO DE EVENTO-RESUMO|ENGENHARIA MECÂNICA|Português||https://soac.eesc.usp.br/index.php/siicusp/32siicusp/paper/viewFile/4453/2935
Caracterização gráfica dos sítios arqueológicos com gravuras rupestres do estado de São Paulo - Brasil|||TESE|SÍTIOS ARQUEOLÓGICOS|Português||https://doi.org/10.11606/D.71.2024.tde-29012025-122159
É fato notório que o mundo do trabalho ... [apresentação]|||PARTE DE MONOGRAFIA/LIVRO-APRES/PREF/POSF|SEGURIDADE SOCIAL|Português||
Introduction of a carbon footprint assessment in the oil and gas facility life extension decision-making process|||ARTIGO DE PERIODICO|EFICIÊNCIA ENERGÉTICA|Inglês||https://doi.org/10.1016/j.geoen.2024.213032
RIFM Natural Complex Substance (NCS) fragrance ingredient safety assessment, Sage oil, Spanish, CAS Registry Number 8022-56-8, RIFM ID 1042440|||ARTIGO DE PERIODICO|TOXICOLOGIA AMBIENTAL|Inglês||https://doi.org/10.1016/j.fct.2025.115411
Novas morfologias do direito do trabalho e seus reflexos na seguridade social|||MONOGRAFIA/LIVRO-ED/ORG|SEGURIDADE SOCIAL|Português||
Multiple clinical manifestations of syphilis in the oral cavity: an overview|||ARTIGO DE PERIODICO|CAVIDADE DENTÁRIA|Inglês||
Efetividade do banho terapêutico no alívio da dor aguda de crianças hospitalizadas: ensaio clínico controlado randomizado de superioridade|||TESE|ENSAIO CLÍNICO|Português||https://doi.org/10.11606/D.7.2023.tde-27032025-105257
A Pós-Graduação no ICB|||PARTE DE MONOGRAFIA/LIVRO|PÓS-GRADUAÇÃO|Inglês||https://doi.org/10.11606/9788593820021
Desafios enfrentados por gestantes durante o pré-natal no SUS, no município de Santarém-PA: desgastes e fortalecimentos|||TESE|SAÚDE DA MULHER|Português||https://doi.org/10.11606/D.7.2023.tde-27032025-113336
Performance analysis of waste biomass gasification and renewable hydrogen production by neural network algorithm|||ARTIGO DE PERIODICO|APRENDIZADO COMPUTACIONAL|Inglês||https://doi.org/10.1115/1.4064849
Effects of Reiki on mental health care: a systematic review|||ARTIGO DE PERIODICO|REVISÃO SISTEMÁTICA|Inglês||https://doi.org/10.1097/HNP.0000000000000456
Research group meetings on quantum technologies|||CURADORIA|COMPUTAÇÃO QUÂNTICA|Português||
Update to RIFM fragrance ingredient safety assessment, acetophenone, CAS Registry Number 98-86-2|||ARTIGO DE PERIODICO|TOXICOLOGIA AMBIENTAL|Inglês||https://doi.org/10.1016/j.fct.2025.115416
O papel da enfermagem nos programas de gestão de antimicrobianos: identificação das lacunas de pesquisa por meio da técnica de grupo nominal|||TESE|RESISTÊNCIA MICROBIANA ÀS DROGAS|Português||https://doi.org/10.11606/D.7.2023.tde-25032025-161746
Profile of sphingolipid-related genes and its association with prognosis highlights sphingolipid metabolism in oral cancer|||ARTIGO DE PERIODICO|SOBREVIVÊNCIA CELULAR|Inglês||https://doi.org/10.3233/CBM-203100
Mucocutaneous lichenoid reaction associated with pembrolizumab in a patient with prostate cancer: a case report|||ARTIGO DE PERIODICO|NEOPLASIAS PROSTÁTICAS|Inglês||
Hydrodynamics of electron-hole fluid in mesoscopic GaAs channels|||TRABALHO DE EVENTO-RESUMO|FÍSICA MODERNA|Inglês||https://uottawacpd.eventsair.com/QuickEventWebsitePortal/icps2024/info
Visita ao bosque chinês: tradução comentada da obra ""O bosque das risadas"" de Handan Chun|||TESE|TRADUÇÃO|Português||https://doi.org/10.11606/D.8.2024.tde-11022025-115221
Effects of dynamic resistance training on postexercise hypotension and its mechanisms in hypertensive men|||ARTIGO DE PERIODICO|TREINAMENTO DE FORÇA|Inglês||http://doi.org/10.1097/MBP.0000000000000737
Programa de Pós-Graduação Interunidades em Biotecnologia USP - Instituto Butantan - Instituto de Pesquisas TecnológicaS|||PARTE DE MONOGRAFIA/LIVRO|PÓS-GRADUAÇÃO|Português||https://doi.org/10.11606/9788593820021
Assessment and source apportionment of PM2.5 in a major Latin American port: elevated concentrations from traffic in the Great Atlantic Forest Reserve|||ARTIGO DE PERIODICO|ÁREAS PORTUÁRIAS|Inglês||https://
Faces do poeta cantor: uma leitura de Vaga Música, de Cecí­lia Meireles|||TESE||Português||https://doi.org/10.11606/D.8.2024.tde-17022025-095227
Mitochondrial adaptive responses to hypertriglyceridemia and bioactive lipids|||ARTIGO DE PERIODICO|MITOCÔNDRIAS|Inglês||https://doi.org/10.1089/ars.2021.0180
Senhores e lavradores: vida rural em uma época de transição (Itu, 1869-1914)|||TESE|ITU (SP)|Português||https://doi.org/10.11606/D.8.2024.tde-18032025-085643
